First Layer,Second Layer,Dropout,Learning Rate,Batch Size,MAE,RMSE,MSE
128,64,0.3,5.00E-04,256,20475.42651,34877.3939,1216432605
64,32,0.2,0.001,128,20436.7863,34916.07391,1219132217
128,64,0.2,5.00E-04,128,20459.74924,34950.26853,1221521271
32,32,0.3,5.00E-04,256,20667.89732,34960.99824,1222271398
128,32,0.2,0.001,256,20635.01054,35080.51943,1230642844
128,64,0.4,0.001,128,20729.06107,35085.57514,1230997583
32,32,0.3,0.001,128,20780.1816,35093.40569,1231547123
64,16,0.2,5.00E-04,256,20781.94579,35095.9718,1231727237
32,64,0.2,0.001,256,21228.43262,35260.50222,1243303017
32,16,0.3,5.00E-04,256,21838.21374,35962.45072,1293297862
32,64,0.3,0.001,128,22231.58965,36707.08417,1347410028
